Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 76645,33763.0,19211.0,10962.0,33.7,506.0,1974.0,250116000.0,1141.0,48,76645
ZCTA5 76648,44800.0,21918.0,2916.0,40.4,520.0,1976.0,,1109.0,48,76648
ZCTA5 76649,38750.0,32670.0,786.0,44.9,412.0,1965.0,,771.0,48,76649
ZCTA5 76650,,21489.0,103.0,36.2,-666666666.0,1964.0,2803200.0,890.0,48,76650
ZCTA5 76651,43188.0,23278.0,3153.0,42.1,549.0,1983.0,,1087.0,48,76651
ZCTA5 76652,40962.0,19906.0,1178.0,48.5,372.0,1985.0,,1180.0,48,76652
ZCTA5 76653,51288.0,26036.0,907.0,49.9,603.0,1981.0,,780.0,48,76653
ZCTA5 76654,52250.0,22874.0,155.0,34.9,-666666666.0,1982.0,4320000.0,938.0,48,76654
ZCTA5 76655,76818.0,28614.0,9352.0,38.8,729.0,1988.0,453740000.0,1483.0,48,76655
ZCTA5 76656,49231.0,19028.0,2604.0,32.8,330.0,1975.0,,1049.0,48,76656
ZCTA5 76657,58393.0,30051.0,9301.0,38.7,552.0,1979.0,434059000.0,1682.0,48,76657
ZCTA5 76660,42721.0,19220.0,578.0,42.0,-666666666.0,1959.0,17054000.0,1146.0,48,76660
ZCTA5 76661,28380.0,12507.0,8181.0,38.8,339.0,1964.0,99784900.0,849.0,48,76661
ZCTA5 76664,37895.0,18797.0,3333.0,35.6,470.0,1971.0,,960.0,48,76664
ZCTA5 76665,41685.0,22772.0,2588.0,43.8,381.0,1976.0,,1015.0,48,76665
ZCTA5 76666,38125.0,24164.0,256.0,50.5,,1970.0,9081000.0,800.0,48,76666
ZCTA5 76667,36576.0,19775.0,11773.0,36.7,449.0,1976.0,,970.0,48,76667
ZCTA5 76670,51484.0,22221.0,1423.0,39.4,538.0,1983.0,,1208.0,48,76670
ZCTA5 76671,47340.0,23487.0,1983.0,51.2,444.0,1979.0,,943.0,48,76671
ZCTA5 76673,48889.0,19500.0,1337.0,45.1,515.0,1984.0,34556600.0,993.0,48,76673
