Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 00601,13092.0,6999.0,17242.0,40.5,284.0,1982.0,,801.0,72,00601
ZCTA5 00602,16358.0,9277.0,38442.0,42.3,316.0,1979.0,,877.0,72,00602
ZCTA5 00603,16603.0,11307.0,48814.0,41.1,322.0,1979.0,,839.0,72,00603
ZCTA5 00606,12832.0,5943.0,6437.0,43.3,216.0,1979.0,147276000.0,551.0,72,00606
ZCTA5 00610,19309.0,10220.0,27073.0,42.1,323.0,1979.0,676533800.0,743.0,72,00610
ZCTA5 00612,18171.0,10549.0,60303.0,42.4,307.0,1977.0,1556593800.0,753.0,72,00612
ZCTA5 00616,16018.0,9102.0,10765.0,42.1,301.0,1985.0,,603.0,72,00616
ZCTA5 00617,16735.0,9122.0,23974.0,40.1,357.0,1981.0,608549500.0,730.0,72,00617
ZCTA5 00622,15206.0,11749.0,6578.0,52.5,321.0,1993.0,255537000.0,931.0,72,00622
ZCTA5 00623,16280.0,8857.0,42427.0,41.8,350.0,1986.0,,773.0,72,00623
ZCTA5 00624,17578.0,8696.0,22707.0,37.9,320.0,1983.0,521110000.0,659.0,72,00624
ZCTA5 00627,16831.0,10252.0,32222.0,40.8,361.0,1983.0,878459700.0,731.0,72,00627
ZCTA5 00631,9681.0,7863.0,1568.0,47.4,146.0,1978.0,23230000.0,843.0,72,00631
ZCTA5 00637,16887.0,9586.0,22975.0,42.1,340.0,1980.0,580101300.0,692.0,72,00637
ZCTA5 00638,14916.0,8485.0,16701.0,42.0,287.0,1979.0,407073000.0,681.0,72,00638
ZCTA5 00641,16795.0,8739.0,27571.0,43.1,309.0,1979.0,618258800.0,692.0,72,00641
ZCTA5 00646,29320.0,16462.0,37494.0,39.9,542.0,1985.0,,1233.0,72,00646
ZCTA5 00647,13674.0,7556.0,5643.0,48.0,396.0,1981.0,324694200.0,575.0,72,00647
ZCTA5 00650,19631.0,8799.0,14760.0,39.2,409.0,1984.0,385818800.0,668.0,72,00650
ZCTA5 00652,21650.0,11156.0,3697.0,39.8,-666666666.0,1987.0,,679.0,72,00652
ZCTA5 00653,12915.0,7366.0,11140.0,39.6,307.0,1978.0,,648.0,72,00653
ZCTA5 00656,16902.0,8701.0,18979.0,41.0,259.0,1976.0,363894000.0,680.0,72,00656
ZCTA5 00659,17201.0,10659.0,40390.0,41.5,325.0,1986.0,1324142500.0,784.0,72,00659
ZCTA5 00660,19394.0,11874.0,16180.0,45.8,337.0,1975.0,573942000.0,759.0,72,00660
ZCTA5 00662,17180.0,9320.0,40290.0,41.1,346.0,1982.0,,739.0,72,00662
ZCTA5 00664,15253.0,7501.0,14991.0,38.0,283.0,1983.0,,716.0,72,00664
ZCTA5 00667,13766.0,7268.0,23590.0,44.4,302.0,1982.0,,693.0,72,00667
ZCTA5 00669,14816.0,8779.0,25653.0,42.1,309.0,1982.0,,671.0,72,00669
ZCTA5 00670,13427.0,7270.0,8498.0,41.0,234.0,1980.0,167398000.0,657.0,72,00670
ZCTA5 00674,19211.0,10878.0,39859.0,41.6,358.0,1978.0,1702816700.0,811.0,72,00674
ZCTA5 00676,14146.0,8802.0,36995.0,39.5,324.0,1983.0,,815.0,72,00676
ZCTA5 00677,21673.0,11663.0,14311.0,45.4,353.0,1980.0,,887.0,72,00677
ZCTA5 00678,16200.0,9654.0,26091.0,40.4,325.0,1984.0,,717.0,72,00678
ZCTA5 00680,13911.0,10404.0,46395.0,42.9,331.0,1970.0,,737.0,72,00680
ZCTA5 00682,15029.0,11102.0,32359.0,36.9,343.0,1970.0,1123180500.0,908.0,72,00682
ZCTA5 00683,15523.0,9829.0,30424.0,43.7,323.0,1978.0,,737.0,72,00683
ZCTA5 00685,14617.0,8724.0,38039.0,43.6,292.0,1982.0,,789.0,72,00685
ZCTA5 00687,20589.0,9715.0,31320.0,37.9,372.0,1986.0,,758.0,72,00687
ZCTA5 00688,17231.0,9155.0,12202.0,40.9,314.0,1982.0,327559200.0,812.0,72,00688
ZCTA5 00690,17622.0,11632.0,5352.0,46.4,475.0,1984.0,204406000.0,752.0,72,00690
ZCTA5 00692,19094.0,11955.0,35840.0,38.6,393.0,1983.0,1091945400.0,982.0,72,00692
ZCTA5 00693,19119.0,10536.0,54428.0,40.6,409.0,1978.0,1851652900.0,874.0,72,00693
ZCTA5 00694,-666666666.0,6880.0,69.0,73.6,-666666666.0,1995.0,,-666666666.0,72,00694
ZCTA5 00698,15019.0,8355.0,36312.0,42.9,281.0,1980.0,,742.0,72,00698
ZCTA5 00703,17129.0,10040.0,26320.0,41.6,383.0,1979.0,819905000.0,818.0,72,00703
ZCTA5 00704,14293.0,7373.0,8274.0,32.9,289.0,1987.0,,630.0,72,00704
ZCTA5 00705,19516.0,10562.0,23176.0,41.5,323.0,1982.0,1271872900.0,817.0,72,00705
ZCTA5 00707,19596.0,9398.0,10964.0,44.4,334.0,1980.0,281516000.0,732.0,72,00707
ZCTA5 00714,17095.0,8021.0,17998.0,39.6,319.0,1981.0,584610500.0,650.0,72,00714
ZCTA5 00715,13070.0,7114.0,2972.0,43.1,206.0,1981.0,,648.0,72,00715
ZCTA5 00716,18818.0,14616.0,28089.0,43.7,310.0,1975.0,1050103900.0,846.0,72,00716
ZCTA5 00717,12251.0,9975.0,16659.0,38.3,181.0,1968.0,439058700.0,798.0,72,00717
ZCTA5 00718,19318.0,9329.0,25715.0,37.5,343.0,1983.0,,702.0,72,00718
ZCTA5 00719,19757.0,9167.0,29119.0,39.8,387.0,1980.0,661729000.0,699.0,72,00719
ZCTA5 00720,13408.0,7914.0,21276.0,38.9,265.0,1984.0,462525000.0,775.0,72,00720
ZCTA5 00723,15826.0,9270.0,17393.0,43.9,211.0,1987.0,423067000.0,700.0,72,00723
ZCTA5 00725,20920.0,13109.0,80555.0,41.3,406.0,1977.0,3224278700.0,912.0,72,00725
ZCTA5 00727,31401.0,16733.0,54823.0,39.3,553.0,1984.0,2538122500.0,977.0,72,00727
ZCTA5 00728,19047.0,9597.0,39698.0,38.6,322.0,1978.0,998633100.0,741.0,72,00728
ZCTA5 00729,20920.0,11730.0,51593.0,39.0,430.0,1985.0,1889083200.0,862.0,72,00729
ZCTA5 00730,15431.0,11224.0,31634.0,41.5,267.0,1973.0,,785.0,72,00730
ZCTA5 00731,17083.0,10431.0,12722.0,40.3,338.0,1985.0,,829.0,72,00731
ZCTA5 00735,19184.0,12739.0,12404.0,41.8,360.0,1980.0,354105900.0,687.0,72,00735
ZCTA5 00736,21000.0,11996.0,47411.0,43.0,365.0,1981.0,1558824700.0,862.0,72,00736
ZCTA5 00738,19404.0,11926.0,30376.0,41.5,397.0,1978.0,931877500.0,772.0,72,00738
ZCTA5 00739,20098.0,11112.0,36847.0,38.9,389.0,1982.0,1012503600.0,908.0,72,00739
ZCTA5 00740,13136.0,6748.0,1625.0,35.6,333.0,1973.0,,659.0,72,00740
ZCTA5 00741,22073.0,10191.0,4880.0,39.8,473.0,1976.0,,689.0,72,00741
ZCTA5 00745,22782.0,11076.0,51429.0,40.7,389.0,1985.0,1505761600.0,891.0,72,00745
ZCTA5 00751,17567.0,9556.0,21009.0,42.1,313.0,1984.0,1707006900.0,714.0,72,00751
ZCTA5 00754,18895.0,10970.0,37727.0,40.9,386.0,1979.0,1181983800.0,898.0,72,00754
ZCTA5 00757,17640.0,10895.0,22066.0,37.8,328.0,1983.0,639206300.0,787.0,72,00757
ZCTA5 00765,15271.0,11174.0,8607.0,43.7,481.0,1977.0,273967200.0,1355.0,72,00765
ZCTA5 00766,19746.0,10631.0,23201.0,38.8,301.0,1983.0,,799.0,72,00766
ZCTA5 00767,15999.0,9144.0,34166.0,42.5,329.0,1983.0,801498400.0,659.0,72,00767
ZCTA5 00769,19928.0,10774.0,39121.0,40.6,365.0,1986.0,,725.0,72,00769
ZCTA5 00771,21499.0,11157.0,37165.0,39.0,406.0,1988.0,,888.0,72,00771
ZCTA5 00772,15658.0,7934.0,20055.0,38.9,284.0,1986.0,439702600.0,767.0,72,00772
ZCTA5 00773,20829.0,11007.0,18547.0,41.2,351.0,1978.0,585588300.0,784.0,72,00773
ZCTA5 00775,23281.0,11658.0,1299.0,41.9,416.0,1995.0,,1450.0,72,00775
ZCTA5 00777,19139.0,9414.0,39994.0,38.5,333.0,1988.0,1032854200.0,782.0,72,00777
ZCTA5 00778,33763.0,17457.0,46675.0,38.6,530.0,1989.0,,1114.0,72,00778
ZCTA5 00780,24287.0,14194.0,11653.0,38.3,567.0,1990.0,471568500.0,920.0,72,00780
ZCTA5 00782,12492.0,6747.0,18229.0,38.0,333.0,1978.0,,735.0,72,00782
ZCTA5 00783,14748.0,7532.0,33372.0,38.6,363.0,1980.0,1326460000.0,703.0,72,00783
ZCTA5 00784,16680.0,9889.0,40685.0,38.5,267.0,1978.0,,714.0,72,00784
ZCTA5 00786,-666666666.0,14278.0,348.0,64.0,-666666666.0,1980.0,,-666666666.0,72,00786
ZCTA5 00791,19793.0,12288.0,48569.0,42.3,342.0,1982.0,,829.0,72,00791
ZCTA5 00794,15970.0,8221.0,28755.0,36.4,311.0,1982.0,,769.0,72,00794
ZCTA5 00795,20700.0,10398.0,44766.0,38.5,357.0,1984.0,1061243400.0,774.0,72,00795
ZCTA5 00901,20943.0,30345.0,6536.0,43.5,448.0,1940.0,,2037.0,72,00901
ZCTA5 00906,102917.0,60330.0,184.0,35.4,-666666666.0,2005.0,,2346.0,72,00906
ZCTA5 00907,33167.0,37067.0,16202.0,48.6,627.0,1966.0,1664263400.0,1542.0,72,00907
ZCTA5 00909,16875.0,14984.0,4989.0,38.8,403.0,1967.0,160015800.0,1107.0,72,00909
ZCTA5 00911,32833.0,29751.0,7242.0,47.6,615.0,1967.0,641535000.0,1361.0,72,00911
ZCTA5 00912,22268.0,17863.0,5455.0,45.7,463.0,1962.0,,939.0,72,00912
ZCTA5 00913,6878.0,7597.0,8406.0,25.2,125.0,1949.0,,1889.0,72,00913
ZCTA5 00915,13839.0,9526.0,26131.0,39.6,322.0,1960.0,568858000.0,776.0,72,00915
