Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 00601,11757.0,7041.0,17599.0,38.9,291.0,1981.0,,748.0,72,00601
ZCTA5 00602,16190.0,8978.0,39209.0,40.9,304.0,1979.0,,846.0,72,00602
ZCTA5 00603,16645.0,10897.0,50135.0,40.4,306.0,1977.0,,867.0,72,00603
ZCTA5 00606,13387.0,5960.0,6304.0,42.8,185.0,1979.0,136108700.0,538.0,72,00606
ZCTA5 00610,18741.0,9266.0,27590.0,41.4,322.0,1979.0,715198500.0,733.0,72,00610
ZCTA5 00612,17744.0,10283.0,62566.0,41.4,310.0,1978.0,1552928400.0,757.0,72,00612
ZCTA5 00616,14918.0,9002.0,10687.0,43.7,327.0,1985.0,,622.0,72,00616
ZCTA5 00617,17157.0,8762.0,24508.0,38.7,375.0,1982.0,587889700.0,715.0,72,00617
ZCTA5 00622,16727.0,11935.0,7405.0,48.4,392.0,1993.0,258158000.0,905.0,72,00622
ZCTA5 00623,16401.0,9101.0,42321.0,41.3,352.0,1987.0,1062656200.0,763.0,72,00623
ZCTA5 00624,16832.0,8072.0,23238.0,37.2,333.0,1983.0,627217400.0,670.0,72,00624
ZCTA5 00627,17579.0,9738.0,32936.0,40.1,334.0,1984.0,923300500.0,744.0,72,00627
ZCTA5 00631,9632.0,7690.0,1555.0,48.2,138.0,1978.0,21764400.0,755.0,72,00631
ZCTA5 00637,15736.0,9158.0,23610.0,40.9,329.0,1980.0,567152300.0,664.0,72,00637
ZCTA5 00638,14448.0,8108.0,17202.0,40.3,281.0,1980.0,420623900.0,717.0,72,00638
ZCTA5 00641,16292.0,8305.0,28332.0,41.9,293.0,1980.0,624428900.0,674.0,72,00641
ZCTA5 00646,29160.0,15397.0,38008.0,39.4,573.0,1985.0,,1179.0,72,00646
ZCTA5 00647,13071.0,7058.0,5610.0,47.1,400.0,1981.0,301793800.0,574.0,72,00647
ZCTA5 00650,16095.0,7698.0,14664.0,38.6,362.0,1985.0,,684.0,72,00650
ZCTA5 00652,20564.0,11439.0,3681.0,38.8,283.0,1988.0,,653.0,72,00652
ZCTA5 00653,12236.0,7279.0,11717.0,38.7,286.0,1979.0,,645.0,72,00653
ZCTA5 00656,14966.0,8327.0,19546.0,40.3,254.0,1976.0,395334000.0,690.0,72,00656
ZCTA5 00659,17770.0,10360.0,40978.0,40.7,328.0,1986.0,1941460900.0,774.0,72,00659
ZCTA5 00660,19674.0,11588.0,16474.0,45.1,332.0,1975.0,,746.0,72,00660
ZCTA5 00662,16771.0,8883.0,41341.0,40.6,361.0,1983.0,,739.0,72,00662
ZCTA5 00664,15401.0,7134.0,15396.0,36.3,281.0,1982.0,,622.0,72,00664
ZCTA5 00667,13843.0,7256.0,24089.0,43.6,293.0,1981.0,,773.0,72,00667
ZCTA5 00669,12996.0,8236.0,26510.0,40.9,305.0,1981.0,482650000.0,650.0,72,00669
ZCTA5 00670,14456.0,7293.0,8797.0,40.1,240.0,1980.0,166296400.0,746.0,72,00670
ZCTA5 00674,18032.0,10520.0,40826.0,41.1,345.0,1977.0,1984847400.0,819.0,72,00674
ZCTA5 00676,13416.0,7893.0,37862.0,38.6,324.0,1983.0,,815.0,72,00676
ZCTA5 00677,18333.0,10236.0,14569.0,44.6,346.0,1979.0,,849.0,72,00677
ZCTA5 00678,15730.0,9103.0,26642.0,39.3,319.0,1984.0,789681900.0,750.0,72,00678
ZCTA5 00680,14500.0,10277.0,48035.0,41.6,323.0,1971.0,1649458700.0,766.0,72,00680
ZCTA5 00682,15315.0,11236.0,32820.0,37.3,336.0,1971.0,1101962000.0,900.0,72,00682
ZCTA5 00683,15043.0,9547.0,31627.0,42.9,310.0,1978.0,1117297200.0,750.0,72,00683
ZCTA5 00685,14128.0,8080.0,38849.0,42.6,289.0,1983.0,,767.0,72,00685
ZCTA5 00687,18739.0,8816.0,31785.0,37.0,348.0,1986.0,,722.0,72,00687
ZCTA5 00688,15918.0,8636.0,12360.0,40.7,302.0,1982.0,324580200.0,760.0,72,00688
ZCTA5 00690,18491.0,10644.0,5587.0,41.9,439.0,1983.0,198331000.0,745.0,72,00690
ZCTA5 00692,18076.0,10586.0,36218.0,37.6,382.0,1982.0,1125832400.0,936.0,72,00692
ZCTA5 00693,18971.0,10209.0,56327.0,40.0,398.0,1978.0,1982906200.0,840.0,72,00693
