Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 19610,70890.0,42621.0,15762.0,43.5,1033.0,1979.0,1215580400.0,1779.0,42,19610
ZCTA5 19611,36823.0,17714.0,10668.0,31.9,644.0,1950.0,,1125.0,42,19611
ZCTA5 19701,81283.0,35149.0,40611.0,37.5,1213.0,1994.0,2880857400.0,1656.0,10,19701
ZCTA5 19702,71094.0,32420.0,53870.0,34.2,1071.0,1991.0,2951013400.0,1598.0,10,19702
ZCTA5 19703,53962.0,26673.0,15196.0,37.3,847.0,1963.0,,1420.0,10,19703
ZCTA5 19706,59850.0,26041.0,2012.0,37.1,830.0,1963.0,95261100.0,1397.0,10,19706
ZCTA5 19707,115560.0,54152.0,15852.0,48.5,1627.0,1984.0,,2220.0,10,19707
ZCTA5 19709,97617.0,35800.0,38485.0,37.2,1074.0,2000.0,3208720700.0,1868.0,10,19709
ZCTA5 19711,72973.0,35624.0,51185.0,34.6,988.0,1976.0,3871723200.0,1712.0,10,19711
ZCTA5 19713,54261.0,28916.0,30952.0,37.1,877.0,1972.0,1556657400.0,1429.0,10,19713
ZCTA5 19716,-666666666.0,2682.0,1040.0,19.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10,19716
ZCTA5 19717,-666666666.0,6642.0,4417.0,18.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10,19717
ZCTA5 19720,57032.0,26027.0,61615.0,37.5,867.0,1968.0,2832030900.0,1395.0,10,19720
ZCTA5 19730,89028.0,26016.0,1251.0,38.3,1018.0,1954.0,89926200.0,1673.0,10,19730
ZCTA5 19731,37125.0,15710.0,359.0,31.0,-666666666.0,1942.0,,943.0,10,19731
ZCTA5 19732,-666666666.0,26900.0,73.0,57.9,-666666666.0,1939.0,,-666666666.0,10,19732
ZCTA5 19733,74926.0,31497.0,234.0,31.9,1014.0,1961.0,,-666666666.0,10,19733
ZCTA5 19734,85778.0,30592.0,11892.0,38.5,1283.0,1997.0,1052594500.0,1856.0,10,19734
ZCTA5 19735,-666666666.0,24240.0,50.0,15.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10,19735
ZCTA5 19801,26810.0,18217.0,15422.0,32.7,666.0,1956.0,231480100.0,1270.0,10,19801
