Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 00601,14361.0,7493.0,17113.0,41.9,292.0,1981,,771.0,72,00601
ZCTA5 00602,16807.0,9694.0,37751.0,42.9,293.0,1978,,877.0,72,00602
ZCTA5 00603,16049.0,11259.0,47081.0,42.1,328.0,1980,1435246500.0,832.0,72,00603
ZCTA5 00606,12119.0,6093.0,6392.0,44.3,196.0,1978,,526.0,72,00606
ZCTA5 00610,19898.0,10572.0,26686.0,42.7,338.0,1978,,751.0,72,00610
ZCTA5 00612,18741.0,10966.0,59369.0,42.6,320.0,1977,1531301700.0,753.0,72,00612
ZCTA5 00616,17007.0,9908.0,10022.0,44.6,285.0,1984,268856000.0,594.0,72,00616
ZCTA5 00617,16984.0,9795.0,23750.0,40.7,371.0,1984,,760.0,72,00617
ZCTA5 00622,14615.0,11215.0,6741.0,52.0,244.0,1992,247312400.0,922.0,72,00622
ZCTA5 00623,17130.0,9691.0,41746.0,42.6,364.0,1986,,749.0,72,00623
ZCTA5 00624,16701.0,9488.0,21936.0,38.9,312.0,1983,456768500.0,663.0,72,00624
ZCTA5 00627,17000.0,10709.0,31598.0,42.2,363.0,1983,1433534500.0,746.0,72,00627
ZCTA5 00631,10244.0,7906.0,1499.0,48.9,120.0,1976,27504000.0,694.0,72,00631
ZCTA5 00637,17405.0,9864.0,22383.0,42.2,336.0,1982,,725.0,72,00637
ZCTA5 00638,16843.0,9260.0,16412.0,42.5,280.0,1981,401436000.0,638.0,72,00638
ZCTA5 00641,15792.0,8833.0,26712.0,43.9,309.0,1979,566853600.0,748.0,72,00641
ZCTA5 00646,30573.0,16763.0,37095.0,41.0,531.0,1985,,1234.0,72,00646
ZCTA5 00647,14223.0,7468.0,5809.0,44.7,379.0,1982,122993000.0,637.0,72,00647
ZCTA5 00650,19764.0,8998.0,14534.0,39.5,403.0,1981,,665.0,72,00650
ZCTA5 00652,21987.0,11312.0,3565.0,43.1,432.0,1989,,663.0,72,00652
ZCTA5 00653,12072.0,7196.0,10484.0,41.9,269.0,1979,,686.0,72,00653
ZCTA5 00656,17355.0,9115.0,18485.0,41.3,259.0,1976,365572000.0,698.0,72,00656
ZCTA5 00659,17715.0,11144.0,39950.0,42.1,327.0,1986,1344448500.0,818.0,72,00659
ZCTA5 00660,19030.0,12479.0,15943.0,47.2,346.0,1975,524823000.0,732.0,72,00660
ZCTA5 00662,16834.0,9014.0,39700.0,41.7,347.0,1981,1387411100.0,759.0,72,00662
ZCTA5 00664,14595.0,7270.0,14693.0,38.6,287.0,1983,,744.0,72,00664
ZCTA5 00667,14013.0,7467.0,23186.0,45.8,318.0,1983,,686.0,72,00667
