Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 00601,10833.0,7229.0,18088.0,37.1,282.0,1982.0,423840500.0,722.0,72,00601
ZCTA5 00602,16353.0,9048.0,40859.0,39.0,329.0,1980.0,1279981700.0,843.0,72,00602
ZCTA5 00603,16323.0,9888.0,53162.0,39.2,267.0,1977.0,,841.0,72,00603
ZCTA5 00606,14138.0,6385.0,6415.0,39.2,234.0,1977.0,156082800.0,569.0,72,00606
ZCTA5 00610,17265.0,8197.0,28805.0,39.7,324.0,1979.0,,752.0,72,00610
ZCTA5 00612,17752.0,10201.0,66251.0,39.3,319.0,1977.0,2115575600.0,780.0,72,00612
ZCTA5 00616,15115.0,8533.0,10466.0,41.6,273.0,1985.0,305401600.0,737.0,72,00616
ZCTA5 00617,15461.0,8024.0,24917.0,36.6,347.0,1985.0,650485700.0,765.0,72,00617
ZCTA5 00622,14993.0,9611.0,6589.0,41.6,417.0,1993.0,,857.0,72,00622
ZCTA5 00623,17044.0,9075.0,44117.0,40.2,311.0,1985.0,,802.0,72,00623
ZCTA5 00624,15467.0,6981.0,24902.0,34.8,279.0,1983.0,702396300.0,711.0,72,00624
ZCTA5 00627,19490.0,9493.0,34438.0,38.4,307.0,1985.0,1030474100.0,778.0,72,00627
ZCTA5 00631,9613.0,5474.0,1847.0,40.8,218.0,1984.0,23171100.0,771.0,72,00631
ZCTA5 00637,14977.0,7988.0,24799.0,38.9,272.0,1981.0,571568000.0,693.0,72,00637
ZCTA5 00638,12588.0,6660.0,18365.0,38.0,273.0,1980.0,484838400.0,780.0,72,00638
ZCTA5 00641,15542.0,7701.0,30183.0,39.2,292.0,1981.0,,661.0,72,00641
ZCTA5 00646,27924.0,14753.0,38305.0,38.0,549.0,1984.0,1917651300.0,1191.0,72,00646
ZCTA5 00647,13668.0,7388.0,5245.0,46.6,388.0,1979.0,370266000.0,603.0,72,00647
ZCTA5 00650,15090.0,7170.0,14679.0,37.3,316.0,1985.0,389344200.0,650.0,72,00650
ZCTA5 00652,14903.0,10640.0,3831.0,39.9,316.0,1986.0,132892000.0,834.0,72,00652
